0.999777,0.0200297,-0.00672923,-0.0202607,0.999138,-0.0362236,0.00599788,0.0363518,0.999321,0.00377362,-0.119164,0.0101795,8793,5198,2103,213,205
0.999835,0.00970127,-0.0153662,-0.0100303,0.999719,-0.0214825,0.0151535,0.0216331,0.999651,-0.00310554,-0.150585,-0.00205475,8823,5299,2060,134,134
0.999806,0.00710342,0.0183696,-0.00631132,0.999063,-0.0428249,-0.0186565,0.0427006,0.998914,-0.00231459,-0.185482,-0.00391473,8111,4638,1880,169,143
0.999583,-0.0288175,0.00182356,0.0287604,0.999247,0.0260362,-0.00257249,-0.0259729,0.999659,0.00308763,-0.31749,-0.0103788,7713,4226,1564,113,109
0.998817,-0.0453138,-0.017663,0.0461835,0.997557,0.0524097,0.015245,-0.0531634,0.998469,0.0345327,-0.35596,-0.00436699,6872,3698,1506,119,107
0.999251,-0.0338337,-0.0187708,0.0344048,0.998927,0.0309902,0.0177022,-0.0316128,0.999343,0.0160389,-0.32563,-0.0118263,6205,3273,1303,112,98
0.999485,-0.0316961,0.00507964,0.0317078,0.999495,-0.00224085,-0.00500605,0.00240076,0.999985,0.00645842,-0.281455,-0.0165774,5487,3080,1256,55,51
0.999646,-0.0266152,-0.000574835,0.0266214,0.99945,0.0197713,4.83007e-05,-0.0197796,0.999804,0.0205248,-0.317133,-0.033123,5055,2927,1202,75,72
0.999786,-0.0165851,0.0123398,0.0165274,0.999852,0.00475987,-0.0124169,-0.00455491,0.999913,0.00145354,-0.303833,-0.00524412,5012,3237,1220,76,68
0.999927,-0.0117187,0.00291177,0.0117558,0.999845,-0.0130751,-0.0027581,0.0131084,0.99991,0.010088,-0.328301,-0.0142677,4647,3326,1269,58,51
0.999835,-0.0155795,0.00934384,0.0153977,0.999697,0.01922,-0.00964045,-0.019073,0.999772,0.0126568,-0.322021,-0.00713505,5683,4303,1725,65,61
0.999687,-0.0223985,-0.0111809,0.0223437,0.999738,-0.00500434,0.0112901,0.00475294,0.999925,0.0135767,-0.309627,-0.00892504,5626,4169,1440,67,62
0.999483,-0.0297958,-0.0120994,0.0298084,0.999555,0.000861056,0.0120683,-0.00122127,0.999926,0.0160904,-0.301085,-0.00732699,6597,4694,1685,88,82
0.999604,-0.0277933,0.00448863,0.0277085,0.999455,0.0179632,-0.00498544,-0.0178317,0.999829,0.021455,-0.332589,0.0121398,7095,5169,1904,94,82
0.999665,-0.0252041,0.00588184,0.0252066,0.999682,-0.000344485,-0.00587128,0.00049263,0.999983,0.00614907,-0.323487,0.00904786,7614,4981,1839,91,79
0.999665,-0.0257168,0.00296562,0.0257066,0.999664,0.00344238,-0.00305315,-0.00336499,0.99999,0.0173811,-0.364863,0.0126674,6913,4648,1844,70,63
0.999594,-0.0255097,0.0126815,0.0256767,0.999583,-0.0131928,-0.0123397,0.013513,0.999833,0.0132589,-0.36572,0.00878286,6550,4145,1666,89,79
0.999657,-0.0261404,-0.00151387,0.02613,0.999637,-0.00653846,0.00168424,0.00649666,0.999977,0.0148139,-0.423772,0.00752511,6865,4431,1586,105,85
0.999694,-0.0220399,0.0112752,0.0224482,0.999046,-0.0374685,-0.0104386,0.0377101,0.999234,0.0260303,-0.307078,0.0110695,7289,4863,1812,54,45
0.999601,-0.0177086,0.0219838,0.0186915,0.998797,-0.0453438,-0.0211543,0.0457366,0.99873,-0.014045,-0.274794,0.00999242,6893,4461,1887,96,77
0.999674,-0.0241206,0.0083242,0.02429,0.999487,-0.0208845,-0.00781618,0.0210798,0.999747,0.0140665,-0.336193,0.023677,5941,3949,1753,130,118
0.999575,-0.0269972,-0.0109544,0.0269377,0.999622,-0.00554511,0.0111,0.00524767,0.999925,0.0691338,-0.380902,0.0315063,5429,3319,1440,137,123
0.999592,-0.0280535,0.00536121,0.02821,0.999097,-0.0317708,-0.00446509,0.0319091,0.999481,0.0394124,-0.349827,0.0177438,5038,2739,1130,77,73
0.99967,-0.0238305,0.00963365,0.0240573,0.999419,-0.0241553,-0.00905241,0.0243791,0.999662,-0.0149152,-0.342865,0.0148864,4725,2574,995,82,75
0.999807,-0.0195767,0.00132704,0.0195896,0.999753,-0.0104917,-0.00112132,0.0105157,0.999944,0.0223245,-0.372921,0.0291127,5240,3108,1353,84,79
0.999673,-0.0205932,0.0151827,0.0208845,0.999596,-0.0192833,-0.0147794,0.0195941,0.999699,0.0184795,-0.335791,0.0293752,6371,4316,1678,84,76
0.999902,-0.0139383,0.00154325,0.013966,0.999709,-0.0196599,-0.00126878,0.0196795,0.999806,0.0168727,-0.331623,0.0265571,6617,4676,1770,67,62
0.999932,-0.00889452,-0.00751938,0.00884479,0.999939,-0.00662186,0.00757782,0.0065549,0.99995,0.00679002,-0.363292,0.0362004,6148,4097,1524,61,53
